what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1472701218725
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1472701218741
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1472701218741
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1472701218741
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1472701218741
started,bundle,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse",1472701218741
os,sysinfo,,,"win32",1472701218756
arch,sysinfo,,,"x86_64",1472701218756
ws,sysinfo,,,"win32",1472701218756
locale,sysinfo,,,"en_US",1472701218756
processors,sysinfo,,,"2",1472701218756
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1472701218756
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1472701218756
java.specification.name,sysinfo,,,"Java Platform API Specification",1472701218756
java.specification.vendor,sysinfo,,,"Oracle Corporation",1472701218756
java.specification.version,sysinfo,,,"1.7",1472701218756
java.vendor,sysinfo,,,"Oracle Corporation",1472701218756
java.version,sysinfo,,,"1.7.0_79",1472701218756
java.vm.info,sysinfo,,,"mixed mode",1472701218756
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1472701218756
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1472701218756
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1472701218756
java.vm.specification.version,sysinfo,,,"1.7",1472701218756
java.vm.vendor,sysinfo,,,"Oracle Corporation",1472701218756
java.vm.version,sysinfo,,,"24.79-b02",1472701218756
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1472701219458
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1472701219458
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1472701219474
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1472701219536
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1472701219614
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1472701219661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472701226759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472701244184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1472701244184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472701251532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472701270345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1472701270361
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1472701275493
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1472701275509
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1472701275540
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1472701275540
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1472701275603
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1472701280657
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1472701281484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472701357518
